iter	Passed	Remaining
885	63380	8155
886	63450	8083
887	63519	8011
888	63585	7939
889	63654	7867
890	63717	7794
891	63789	7723
892	63862	7652
893	63933	7580
894	63998	7508
895	64062	7435
896	64133	7364
897	64210	7293
898	64288	7222
899	64359	7151
900	64430	7079
901	64500	7007
902	64570	6936
903	64643	6864
904	64712	6793
905	64785	6721
906	64861	6650
907	64933	6579
908	64999	6507
909	65071	6435
910	65148	6364
911	65222	6293
912	65292	6221
913	65364	6150
914	65433	6078
915	65505	6007
916	65579	5935
917	65655	5864
918	65723	5792
919	65799	5721
920	65876	5650
921	65949	5579
922	66021	5507
923	66095	5436
924	66164	5364
925	66234	5293
926	66307	5221
927	66377	5150
928	66446	5078
929	66513	5006
930	66575	4934
931	66645	4862
932	66718	4791
933	66785	4719
934	66861	4648
935	66929	4576
936	66998	4504
937	67069	4433
938	67139	4361
939	67201	4289
940	67263	4217
941	67339	4146
942	67403	4074
943	67470	4002
944	67536	3930
945	67605	3859
946	67674	3787
947	67740	3715
948	67818	3644
949	67887	3573
950	67958	3501
951	68027	3429
952	68097	3358
953	68162	3286
954	68237	3215
955	68311	3144
956	68371	3072
957	68445	3000
958	68519	2929
959	68592	2858
960	68656	2786
961	68725	2714
962	68799	2643
963	68873	2572
964	68950	2500
965	69020	2429
966	69090	2357
967	69174	2286
968	69244	2215
969	69319	2143
970	69388	2072
971	69464	2001
972	69539	1929
973	69608	1858
974	69680	1786
975	69754	1715
976	69829	1643
977	69903	1572
978	69968	1500
979	70038	1429
980	70111	1357
981	70179	1286
982	70250	1214
983	70331	1143
984	70399	1072
985	70469	1000
986	70534	929
987	70606	857
988	70671	786
989	70734	714
990	70804	643
991	70873	571
992	70940	500
993	71013	428
994	71079	357
995	71147	285
996	71215	214
997	71287	142
998	71357	71
999	71424	0
